,property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
2141,1.0,96.0,2.0,2.0,1.0,0.0,558.0,0.0,0.0,0.0,1.0,1.0,0.6
2142,1.0,7.0,4.0,3.0,1.0,0.0,1170.0,0.0,0.0,0.0,1.0,1.0,0.6
2143,0.0,101.0,1.0,1.0,1.0,3.0,3569.0,0.0,0.0,0.0,2.0,0.0,0.17
2144,0.0,31.0,3.0,5.0,4.0,2.0,2590.0,0.0,0.0,0.0,1.0,2.0,3.0
2145,0.0,91.0,2.0,2.0,2.0,3.0,1822.0,1.0,0.0,0.0,2.0,2.0,1.31
2146,0.0,102.0,4.0,4.0,0.0,4.0,3225.0,0.0,0.0,0.0,1.0,2.0,3.2
2147,0.0,9.0,2.0,2.0,4.0,1.0,940.0,0.0,0.0,1.0,1.0,1.0,1.0
2148,0.0,71.0,3.0,3.0,4.0,4.0,1798.0,0.0,0.0,0.0,1.0,0.0,1.85
2149,0.0,6.0,2.0,2.0,0.0,3.0,1450.0,0.0,0.0,0.0,2.0,2.0,0.8
2150,0.0,86.0,2.0,2.0,2.0,3.0,667.0,0.0,0.0,0.0,1.0,2.0,0.39
2151,1.0,49.0,6.0,6.0,3.0,0.0,2880.0,1.0,1.0,2.0,0.0,2.0,4.45
2152,0.0,10.0,3.0,2.0,2.0,3.0,717.0,0.0,0.0,0.0,1.0,2.0,0.5
2153,1.0,56.0,1.0,4.0,4.0,3.0,60.0,0.0,1.0,0.0,2.0,2.0,1.45
2154,0.0,103.0,2.0,2.0,2.0,1.0,591.0,0.0,0.0,0.0,1.0,2.0,0.5
2155,0.0,33.0,3.0,5.0,4.0,2.0,2367.0,1.0,0.0,1.0,2.0,0.0,3.55
2156,1.0,35.0,4.0,4.0,4.0,2.0,7000.0,1.0,1.0,0.0,2.0,1.0,8.0
2157,1.0,41.0,2.0,1.0,4.0,0.0,4635.0,0.0,0.0,0.0,1.0,1.0,4.12
2158,1.0,99.0,4.0,4.0,4.0,3.0,5000.0,0.0,0.0,0.0,1.0,2.0,2.75
2159,0.0,99.0,4.0,3.0,2.0,1.0,1778.0,0.0,0.0,0.0,1.0,0.0,1.1
2160,0.0,99.0,3.0,3.0,3.0,3.0,1765.0,1.0,0.0,1.0,2.0,2.0,1.6
